"model","formula","p(Int)","SEp(Int)","psi(bosque)","SEpsi(bosque)","psi(dist_rios)","SEpsi(dist_rios)","psi(dist_vias)","SEpsi(dist_vias)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"Null","~1 ~ 1",-0.459846159505867,0.161833667313849,NA,NA,NA,NA,NA,NA,0.907192308303328,0.434904961719745,0,7.25164653263846,130.675817343592,2,27,265.351634687185,0,0.456619036649185,NA,0.456619036649185
"Rios","~1 ~ dist_rios",-0.459713257327954,0.161800978721039,NA,NA,0.13419353603452,0.462690326288372,NA,NA,0.910645173595411,0.436340026813441,0,8.4065754042533,130.63188953358,3,27,267.263779067159,1.91214437997451,0.175524254461882,NA,0.632143291111068
"Vias","~1 ~ dist_vias",-0.45982425190193,0.161831474059847,NA,NA,NA,NA,0.127409791773951,0.456193283678954,0.910466434973541,0.436351516115955,0,8.2037195325206,130.635881281777,3,27,267.271762563554,1.92012787636901,0.174825002383166,NA,0.806968293494233
"Bosque","~1 ~ bosque",-0.459830993410405,0.161832795653775,0.00551535404631934,0.442172880137162,NA,NA,NA,NA,0.907290744938923,0.435169652361794,0,7.66215112693165,130.675739578259,3,27,267.351479156518,1.99984446933365,0.167993819618145,NA,0.974962113112378
"Global","~1 ~ bosque + dist_rios + dist_vias",-0.459617984975187,0.161776959352222,-0.0253624988630981,0.446601384904136,0.15544780475029,0.475005802658551,0.146263372946179,0.457660256988214,0.913872890174779,0.438044316776011,0,10.2298382189175,130.5792766158,5,27,271.158553231599,5.80691854441443,0.025037886887622,NA,1
