"model","formula","p(Int)","SEp(Int)","psi(bosque)","SEpsi(bosque)","psi(dist_rios)","SEpsi(dist_rios)","psi(dist_vias)","SEpsi(dist_vias)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"Vias","~1 ~ dist_vias",-0.945960487506543,0.106840978841328,NA,NA,NA,NA,0.718665565382489,0.53339620875528,0.883329885758237,0.378056798794466,0,27.8574700918582,290.33657611712,3,41,586.673152234239,0,0.289978098759047,NA,0.289978098759047
"Null","~1 ~ 1",-0.945524552773657,0.106734674235323,NA,NA,NA,NA,NA,NA,0.783843016834369,0.339556542246978,0,10.1276640624657,291.635893045931,2,41,587.271786091862,0.598633857622758,0.214967847363254,NA,0.504945946122301
"Rios","~1 ~ dist_rios",-0.945338388503294,0.106679642110241,NA,NA,-0.465499988637157,0.347137936437283,NA,NA,0.809921756614692,0.349618964681635,0,11.576436400429,290.676018442833,3,41,587.352036885666,0.67888465142687,0.206512939797326,NA,0.711458885919628
"Global","~1 ~ bosque + dist_rios + dist_vias",-0.944281087819186,0.106438106592803,-0.224501002994732,0.386826125300994,-0.638968361095394,0.406425835862107,1.00645930357904,0.615255706885602,0.990960186699728,0.410259369672406,0,41.7426377444663,288.701079473578,5,41,587.402158947155,0.729006712916089,0.201401825068,NA,0.912860710987627
"Bosque","~1 ~ bosque",-0.945574207190711,0.10673523400649,-0.152432855982019,0.348205824061557,NA,NA,NA,NA,0.784786940296035,0.340615813771979,0,10.8656976121681,291.538873654214,3,41,589.077747308427,2.40459507418802,0.0871392890123728,NA,1
