"model","formula","p(Int)","SEp(Int)","psi(bosque)","SEpsi(bosque)","psi(dist_rios)","SEpsi(dist_rios)","psi(dist_vias)","SEpsi(dist_vias)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"Global","~1 ~ bosque + dist_rios + dist_vias",-1.02774052319988,0.101684680931745,-0.0432658002608986,0.412701352752774,-0.873037988054059,0.456298759679591,1.21177603685108,0.700167647126992,1.35668090035704,0.468106643296255,0,61.7532448926177,314.78874823005,5,41,639.577496460099,0,0.299209232929994,NA,0.299209232929994
"Rios","~1 ~ dist_rios",-1.02886548097265,0.101928038401252,NA,NA,-0.589450742714093,0.365713058322411,NA,NA,1.07957185739811,0.376638558920087,0,15.1983449376342,316.986621229644,3,41,639.973242459287,0.395745999187852,0.245493410259343,NA,0.544702643189337
"Vias","~1 ~ dist_vias",-1.03071962839105,0.102420490294839,NA,NA,NA,NA,0.861237018720901,0.659683902300932,1.1839246972281,0.434596702104242,0,48.3530944726251,317.019832398894,3,41,640.039664797787,0.462168337688126,0.237474188009564,NA,0.782176831198902
"Null","~1 ~ 1",-1.02919583177233,0.102016488765345,NA,NA,NA,NA,NA,NA,1.02586509007429,0.358210344959292,0,12.3398015306822,318.419573037546,2,41,640.839146075093,1.26164961499364,0.159225000094451,NA,0.941401831293353
"Bosque","~1 ~ bosque",-1.02922072862478,0.102014751540697,0.00985482551297148,0.361380635362939,NA,NA,NA,NA,1.02447620927004,0.358202133065465,0,12.8086486306447,318.419187889042,3,41,642.838375778084,3.2608793179852,0.0585981687066472,NA,1
