"model","formula","p(Int)","SEp(Int)","psi(bosque)","SEpsi(bosque)","psi(dist_rios)","SEpsi(dist_rios)","psi(dist_vias)","SEpsi(dist_vias)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"Null","~1 ~ 1",-1.58064783878904,0.125926944880841,NA,NA,NA,NA,NA,NA,1.52723483784664,0.475243876254461,0,15.027153566252,261.189655646997,2,41,526.379311293994,0,0.418097379960859,NA,0.418097379960859
"Bosque","~1 ~ bosque",-1.58105348608418,0.126031859873005,0.353876020276609,0.474144083609035,NA,NA,NA,NA,1.5764181800834,0.505428525435074,0,21.0778622644743,260.904298455947,3,41,527.808596911893,1.42928561789927,0.204603009552827,NA,0.622700389513686
"Rios","~1 ~ dist_rios",-1.5810070613748,0.12600759860261,NA,NA,-0.25390001782807,0.41393337302367,NA,NA,1.54874542284748,0.48792503369381,0,17.0406074184121,261.01892781913,3,41,528.03785563826,1.65854434426637,0.182443803517597,NA,0.805144193031283
"Vias","~1 ~ dist_vias",-1.58091946327002,0.12594730662803,NA,NA,NA,NA,-0.0998829312928145,0.436119383506165,1.53197132303867,0.477417651267947,0,15.5379592582559,261.164577891487,3,41,528.329155782974,1.94984448897947,0.157715397530483,NA,0.962859590561766
"Global","~1 ~ bosque + dist_rios + dist_vias",-1.5801281134146,0.125757382108026,0.424694369613015,0.491297968157392,-0.301527652728853,0.412929756897742,-0.174234458471008,0.457211824886163,1.60955038455179,0.521682375355914,0,25.6157156096095,260.610664438754,5,41,531.221328877508,4.84201758351389,0.0371404094382344,NA,1
