"model","formula","p(Int)","SEp(Int)","psi(bosque)","SEpsi(bosque)","psi(dist_rios)","SEpsi(dist_rios)","psi(dist_vias)","SEpsi(dist_vias)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"Null","~1 ~ 1",-0.326740697300837,0.154349358301651,NA,NA,NA,NA,NA,NA,1.07960856215616,0.449270380179513,0,8.48860256911046,137.883813886852,2,27,279.767627773704,0,0.455743907237044,NA,0.455743907237044
"Bosque","~1 ~ bosque",-0.326745102480454,0.154358438522058,0.187202479122184,0.448557968921433,NA,NA,NA,NA,1.09395792948877,0.454337118389525,0,9.63632465894571,137.79769074868,3,27,281.59538149736,1.8277537236558,0.182738137051848,NA,0.638482044288891
"Rios","~1 ~ dist_rios",-0.326704211027031,0.154344217498034,NA,NA,0.0564701648301445,0.464571286284978,NA,NA,1.08008210727154,0.449532572171626,0,9.16642430778403,137.876308473129,3,27,281.752616946258,1.98498917255324,0.168921896724725,NA,0.807403941013616
"Vias","~1 ~ dist_vias",-0.326779491985072,0.154349258090315,NA,NA,NA,NA,0.0183410361041653,0.459510632454678,1.07941560324889,0.449271963956751,0,8.89440005470268,137.8830169219,3,27,281.766033843799,1.99840607009469,0.167792485369003,NA,0.975196426382619
"Global","~1 ~ bosque + dist_rios + dist_vias",-0.32676734852398,0.154360847570352,0.182424827512126,0.45461283941656,0.0356073212007985,0.467464912499724,0.00553834525494317,0.46046347979908,1.0939176315227,0.454431591380904,0,11.3983835501531,137.794757191405,5,27,285.58951438281,5.82188660910583,0.0248035736173806,NA,1
