"model","formula","p(Int)","SEp(Int)","psi(bosque)","SEpsi(bosque)","psi(dist_rios)","SEpsi(dist_rios)","psi(dist_vias)","SEpsi(dist_vias)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"Null","~1 ~ 1",-0.512764533302051,0.163524566824161,NA,NA,NA,NA,NA,NA,0.915816579624417,0.437840751123828,0,7.21000892735583,129.703421687799,2,27,263.406843375597,0,0.433590368644685,NA,0.433590368644685
"Vias","~1 ~ dist_vias",-0.512973419416947,0.163575958460647,NA,NA,NA,NA,0.274456049949829,0.485471368160346,0.931847111589211,0.445321118555417,0,9.49058524811096,129.532575464337,3,27,265.065150928673,1.65830755307564,0.189226831254682,NA,0.622817199899367
"Rios","~1 ~ dist_rios",-0.512389079679198,0.163419035399657,NA,NA,0.264796285778905,0.500469312560431,NA,NA,0.929811855764091,0.443852903190801,0,9.90001297575014,129.548777887319,3,27,265.097555774639,1.69071239904139,0.186185602265504,NA,0.809002802164871
"Bosque","~1 ~ bosque",-0.512748010319052,0.163523329493349,0.00555831486788233,0.445250774070204,NA,NA,NA,NA,0.915880898189924,0.438104242654798,0,7.61993159224709,129.703343772945,3,27,265.406687545891,1.99984417029327,0.159521411117489,NA,0.968524213282361
"Global","~1 ~ bosque + dist_rios + dist_vias",-0.512365952606497,0.163441747401066,-0.0612678634330648,0.453435844708535,0.315195432994615,0.523604065179758,0.31019639903605,0.483954336862801,0.947263435136411,0.451956103082376,0,12.0889099269918,129.326303350524,5,27,268.652606701047,5.24576332544984,0.0314757867176392,NA,1
